Вінницька|57.6|74.1|92|39.3|0|0.126|-0.625
Волинська|49.9|68.4|52|29|0|0.150|-1.0
Дніпропетровська|325.4|319.7|1055|190.86|0.264|0.106|-0.753
Донецька|217.6|347.1|926|93.3|0.219|0.148|-0.722
Житомирська|50.6|86.84|63|56.74|0.046|0.143|-0.744
Закарпатська|23.0|36.55|29|28.66|0.114|0.237|-2.0
Запорізька|618.9|706.82|1081|554.84|0.073|0.062|-0.810
Івано-Франківська|53.6|64.5|74|43.63|0.017|0.141|-0.756
Київська|383.1|184|664|150|0.008|0.015|-0.997
Кіровоградська|51.6|208.3|50|46.6|0.021|0.040|-0.228
Луганська|31.4|36.49|69|134.95|0.226|0.097|-1.886
Львівська|47.0|69.49|119|66.37|0.212|0.320|-7.357
Миколаївська|155.1|211.25|179|52.82|0.314|0.331|-0.318
Одеська|101.7|270|243|94.97|0.174|0.067|-0.168
Полтавська|60.7|87.37|87|49.67|0.036|0.137|-1.683
Рівненська|76.6|108.81|89|49.3|0.094|0.052|-0.680
Сумська|57.7|85.74|64|43.3|0.471|0.112|-0.889
Тернопільська|34.8|46.6|37|27.97|0.065|0.12|-1.25
Харківська|104.1|100.3|282|100.3|0.030|0.283|-1.113
Херсонська|934.8|1649.5|990|66.24|0.015|0.146|-0.046
Хмельницька|59.7|83.33|77|27.6|0|0.106|-0.556
Черкаська|114.8|147.2|142|87.3|0.055|0.051|-0.861
Чернівецька|57.2|73.35|52|42.17|0.048|0.182|-0.867
Чернігівська|104.9|102.3|109|69.7|0.064|0.041|-1.115
