         Вінницька | 0.037947 | 0.023317 | 0.059886 | 0.022191 | 0.000000 | 0.351266 | 0.079196
         Волинська | 0.029502 | 0.019783 | 0.021863 | 0.002655 | 0.000000 | 0.427215 | 0.130488
  Дніпропетровська | 0.331652 | 0.175579 | 0.975285 | 0.309650 | 0.560510 | 0.287975 | 0.096704
          Донецька | 0.213424 | 0.192565 | 0.852662 | 0.124611 | 0.464968 | 0.420886 | 0.092463
       Житомирська | 0.030270 | 0.031215 | 0.032319 | 0.055269 | 0.097665 | 0.405063 | 0.095473
      Закарпатська | 0.000000 | 0.000037 | 0.000000 | 0.002010 | 0.242038 | 0.702532 | 0.267268
        Запорізька | 0.653542 | 0.415577 | 1.000000 | 1.000000 | 0.154989 | 0.148734 | 0.104500
  ІваноФранківська | 0.033560 | 0.017365 | 0.042776 | 0.030404 | 0.036093 | 0.398734 | 0.097114
          Київська | 0.394933 | 0.091450 | 0.603612 | 0.232152 | 0.016985 | 0.000000 | 0.130078
    Кіровоградська | 0.031367 | 0.106515 | 0.019962 | 0.036037 | 0.044586 | 0.079114 | 0.024894
         Луганська | 0.009213 | 0.000000 | 0.038023 | 0.203607 | 0.479830 | 0.259494 | 0.251676
         Львівська | 0.026322 | 0.020459 | 0.085551 | 0.073534 | 0.450106 | 0.965190 | 1.000000
      Миколаївська | 0.144878 | 0.108344 | 0.142586 | 0.047834 | 0.666667 | 1.000000 | 0.037204
           Одеська | 0.086313 | 0.144767 | 0.203422 | 0.127779 | 0.369427 | 0.164557 | 0.016687
        Полтавська | 0.041347 | 0.031544 | 0.055133 | 0.041859 | 0.076433 | 0.386076 | 0.223909
        Рівненська | 0.058785 | 0.044835 | 0.057034 | 0.041158 | 0.199575 | 0.117089 | 0.086719
           Сумська | 0.038057 | 0.030533 | 0.033270 | 0.029778 | 1.000000 | 0.306962 | 0.115306
     Тернопільська | 0.012941 | 0.006268 | 0.007605 | 0.000702 | 0.138004 | 0.332278 | 0.164683
        Харківська | 0.088945 | 0.039560 | 0.240494 | 0.137888 | 0.063694 | 0.848101 | 0.145944
        Херсонська | 1.000000 | 1.000000 | 0.913498 | 0.073287 | 0.031847 | 0.414557 | 0.000000
       Хмельницька | 0.040250 | 0.029039 | 0.045627 | 0.000000 | 0.000000 | 0.287975 | 0.069758
         Черкаська | 0.100680 | 0.068636 | 0.107414 | 0.113231 | 0.116773 | 0.113924 | 0.111476
       Чернівецька | 0.037508 | 0.022852 | 0.021863 | 0.027634 | 0.101911 | 0.528481 | 0.112297
      Чернігівська | 0.089822 | 0.040799 | 0.076046 | 0.079850 | 0.135881 | 0.082278 | 0.146218
