2017|69.26|70.22|2.51E-3|3.916E-6|3.704E-6|4.06E-6
2016|69.23|70.55|4.67E-3|3.499E-6|3.405E-6|4.30E-6
2015|69.18|70.84|2.82E-3|3.461E-6|3.274E-6|5.66E-6
2014|69.12|71.12|2.25E-3|3.331E-6|3.098E-6|6.69E-6
2013|68.98|75.26|2.44E-3|3.17E-6|2.884E-6|5.57E-6
2012|68.88|75.47|2.55E-3|4.654E-6|4.259E-6|6.61E-6
2011|68.77|75.60|2.94E-3|4.843E-6|4.624E-6|7.78E-6
2010|68.68|75.84|2.46E-3|5.549E-6|5.199E-6|7.89E-6
2009|68.59|76.14|4.07E-3|5.744E-6|5.439E-6|7.75E-6
2008|68.45|76.44|3.35E-3|6.762E-6|6.328E-6|12.722E-6
2007|68.29|76.82|4.29E-3|7.936E-6|7.504E-6|13.24E-6
2006|68.13|77.28|3.25E-3|7.800E-6|7.35E-6|10.03E-6
2005|67.93|77.75|4.35E-3|7.842E-6|7.27E-6|9.72E-6
2004|67.70|78.33|5.82E-3|6.045E-6|5.54E-6|8.86E-6
2003|67.50|78.89|5.14E-3|6.615E-6|6.426E-6|8.02E-6
2002|67.67|79.53|4.49E-3|11.374E-6|9.187E-6|10.81E-6
2001|67.22|80.28|5.69E-3|14.962E-6|11.660E-6|11.58E-6
2000|67.22|81.05|5.04E-3|14.860E-6|11.610E-6|10.69E-6
